,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
396,Delhi,10,Central,1,2017,0,1,0,0,0,0,98.5,44011,98.0,27.6,87.5,95.4,85.7,69.2,458,522,64,131936,145.42,11.86,2,63,73,33,18,17,204,328985,0
397,Delhi,10,Central,1,2018,0,0,1,0,0,0,98.3,42202,98.1,25.3,87.6,92.6,75.1,68.0,2120,659,60,128378,142.17,15.62,2,63,76,33,19,17,208,365529,0
398,Delhi,10,Central,1,2019,0,0,0,1,0,0,98.6,38514,98.4,24.6,81.0,85.8,80.5,74.1,25472,507,55,83306,142.81,13.16,215,63,76,33,19,17,208,383805,0
399,Delhi,10,East,2,2017,0,1,0,0,0,0,95.5,12264,98.7,19.7,96.3,113.5,93.2,174.6,342,436,13,57066,106.0,35.55,2,45,35,41,9,6,136,328985,0
400,Delhi,10,East,2,2018,0,0,1,0,0,0,95.0,13190,98.9,22.7,91.6,108.3,89.2,163.5,1139,483,11,57276,83.4,36.62,2,46,35,39,9,6,135,365529,0
401,Delhi,10,East,2,2019,0,0,0,1,0,0,95.7,12258,98.9,19.5,86.3,102.9,82.7,160.6,16871,673,16,32056,130.53,54.9,215,46,35,39,9,6,135,383805,0
402,Delhi,10,New Delhi,3,2017,0,1,0,0,0,0,99.2,45822,97.4,15.2,94.9,103.8,92.9,35.6,0,2757,198,91505,432.11,60.17,2,23,76,22,5,10,136,328985,0
403,Delhi,10,New Delhi,3,2018,0,0,1,0,0,0,99.3,47070,97.4,17.1,88.3,97.7,90.6,33.7,521,2454,175,85458,371.79,52.14,2,23,76,22,5,10,136,365529,0
404,Delhi,10,New Delhi,3,2019,0,0,0,1,0,0,99.2,42536,97.4,17.7,94.6,99.0,91.3,33.1,12402,1212,73,75813,171.62,28.49,215,24,77,22,5,10,138,383805,0
405,Delhi,10,North,4,2017,0,1,0,0,0,0,74.3,10532,98.8,18.0,74.5,150.2,63.0,293.6,325,138,2,49332,18.99,13.1,2,42,39,51,3,3,138,328985,0
406,Delhi,10,North,4,2018,0,0,1,0,0,0,74.1,11435,98.7,18.9,84.4,136.2,75.6,245.8,1760,239,5,43115,43.73,20.9,2,43,39,51,3,3,139,365529,0
407,Delhi,10,North,4,2019,0,0,0,1,0,0,74.2,9454,98.7,15.3,86.9,138.5,77.5,299.5,25742,247,21,39918,222.13,26.13,215,43,39,51,3,3,139,383805,0
408,Delhi,10,North East,5,2017,0,1,0,0,0,0,82.4,7744,99.1,17.6,84.1,164.2,77.0,389.7,751,72,3,63476,38.74,9.3,2,38,28,16,16,1,83,328985,0
409,Delhi,10,North East,5,2018,0,0,1,0,0,0,81.5,8088,99.0,21.9,84.2,146.8,80.0,351.7,1123,121,5,73611,61.82,14.96,2,38,29,16,16,1,84,365529,0
410,Delhi,10,North East,5,2019,0,0,0,1,0,0,82.1,7304,99.2,26.9,91.5,155.2,87.2,391.4,24295,110,6,41915,82.15,15.06,215,38,29,16,16,1,84,383805,0
411,Delhi,10,North West,6,2017,0,1,0,0,0,0,97.3,42328,98.3,21.7,83.9,98.5,81.7,92.0,731,632,78,104224,184.28,14.93,2,79,63,100,8,13,263,328985,0
412,Delhi,10,North West,6,2018,0,0,1,0,0,0,96.8,43310,98.1,29.9,83.2,96.3,70.8,89.1,1871,437,81,82474,187.02,10.09,2,79,64,100,8,13,264,365529,0
413,Delhi,10,North West,6,2019,0,0,0,1,0,0,97.3,42628,98.0,26.6,87.6,97.4,80.0,91.7,32090,328,84,57141,197.05,7.69,215,79,64,100,8,13,264,383805,0
414,Delhi,10,Shahdara,7,2017,0,1,0,0,0,0,98.3,38869,97.5,11.7,98.6,106.2,96.6,63.4,652,41,80,177913,205.82,1.05,2,49,34,50,5,6,144,328985,0
415,Delhi,10,Shahdara,7,2018,0,0,1,0,0,0,98.6,40754,97.7,9.6,97.5,103.0,93.4,57.8,1449,147,156,130694,382.78,3.61,2,58,34,50,5,6,153,365529,0
416,Delhi,10,Shahdara,7,2019,0,0,0,1,0,0,98.5,38010,97.7,22.9,97.5,101.8,88.1,58.5,19446,602,116,64164,305.18,15.84,215,58,34,50,5,6,153,383805,0
417,Delhi,10,South,8,2017,0,1,0,0,0,0,91.0,11700,98.9,20.2,91.6,108.8,82.8,169.7,616,61,16,44604,136.75,5.21,2,41,36,57,7,6,147,328985,0
418,Delhi,10,South,8,2018,0,0,1,0,0,0,93.4,13292,99.0,20.2,94.5,105.5,78.9,138.4,557,77,17,46910,127.9,5.79,2,42,36,58,7,6,149,365529,0
419,Delhi,10,South,8,2019,0,0,0,1,0,0,93.5,12366,98.9,20.4,92.8,103.8,91.5,144.5,15097,77,23,35682,185.99,6.23,215,42,36,58,7,6,149,383805,0
420,Delhi,10,South East,9,2017,0,1,0,0,0,0,89.6,10494,99.2,14.0,75.3,143.5,70.2,305.3,347,97,0,61650,0.0,9.24,2,45,49,57,11,10,172,328985,0
421,Delhi,10,South East,9,2018,0,0,1,0,0,0,92.1,14142,99.3,13.1,75.2,109.4,61.5,229.9,743,31,6,70092,42.43,2.19,2,51,49,57,12,10,179,365529,0
422,Delhi,10,South East,9,2019,0,0,0,1,0,0,93.6,13818,99.3,14.9,75.7,106.3,62.6,232.7,26755,58,4,65019,28.95,4.2,215,51,49,57,12,10,179,383805,0
423,Delhi,10,South West,10,2017,0,1,0,0,0,0,94.2,13639,99.1,16.4,96.2,116.7,95.0,188.1,94,57,4,42077,29.33,4.18,2,70,43,53,23,7,196,328985,0
424,Delhi,10,South West,10,2018,0,0,1,0,0,0,95.9,17736,99.0,16.7,92.8,107.1,93.2,148.8,914,103,7,57181,39.47,5.81,2,74,45,43,18,7,187,365529,0
425,Delhi,10,South West,10,2019,0,0,0,1,0,0,96.6,16868,98.9,16.1,96.8,105.6,95.6,146.5,21091,125,4,48420,23.71,7.41,215,74,45,43,18,7,187,383805,0
426,Delhi,10,West,11,2017,0,1,0,0,0,0,96.0,30425,98.4,25.8,91.1,114.9,85.3,137.2,881,145,59,158239,193.92,4.77,2,95,73,115,15,12,310,328985,0
427,Delhi,10,West,11,2018,0,0,1,0,0,0,95.8,30971,98.7,26.4,93.5,110.1,88.6,137.4,2940,308,49,155852,158.21,9.94,2,95,73,109,15,12,304,365529,0
428,Delhi,10,West,11,2019,0,0,0,1,0,0,96.2,27891,98.5,33.2,93.8,108.5,92.0,142.8,33691,389,52,125162,186.44,13.95,215,95,73,109,15,12,304,383805,0
1377,Puducherry,27,Karaikal,1,2017,0,1,0,0,0,0,99.9,3649,99.2,8.9,96.4,90.9,96.4,64.1,2372,27,2,6181,54.81,7.4,17,17,11,1,2,1,32,203583,0
1378,Puducherry,27,Karaikal,1,2018,0,0,1,0,0,0,99.9,3442,99.1,8.3,99.7,99.7,99.7,67.6,2271,18,2,6189,58.11,5.23,31,17,11,1,2,1,32,220460,0
1379,Puducherry,27,Karaikal,1,2019,0,0,0,1,0,0,100,3117,99.4,11.5,99.3,99.3,99.1,66.2,1912,14,0,5414,0.0,4.49,119,17,11,1,2,1,32,237278,0
1380,Puducherry,27,Mahe,2,2017,0,1,0,0,0,0,100,707,100.0,4.6,98.4,104.0,98.4,75.0,561,0,1,967,141.44,0.0,17,4,1,1,1,1,8,203583,0
1381,Puducherry,27,Mahe,2,2018,0,0,1,0,0,0,100,535,100.0,10.7,100.2,100.2,96.3,107.5,583,0,0,838,0.0,0.0,31,4,1,1,1,1,8,220460,0
1382,Puducherry,27,Mahe,2,2019,0,0,0,1,0,0,100,406,99.8,2.4,103.2,103.2,103.2,119.0,497,0,0,700,0.0,0.0,119,4,1,1,1,1,8,237278,0
1383,Puducherry,27,Pondicherry,3,2017,0,1,0,0,0,0,100,37812,98.8,15.4,99.2,99.6,99.1,33.1,10753,496,26,79919,68.76,13.12,17,55,28,2,5,1,91,203583,0
1384,Puducherry,27,Pondicherry,3,2018,0,0,1,0,0,0,100,39411,98.8,13.5,99.2,99.2,99.1,29.5,10720,383,20,90410,50.75,9.72,31,55,28,2,5,1,91,220460,0
1385,Puducherry,27,Pondicherry,3,2019,0,0,0,1,0,0,100,28696,98.8,14.9,99.1,99.1,99.1,32.8,8626,333,11,59930,38.33,11.6,119,55,28,2,5,1,91,237278,0
1386,Puducherry,27,Yanam,4,2017,0,1,0,0,0,0,100,361,99.4,5.1,98.3,96.4,98.3,193.4,635,9,0,1598,0.0,24.93,17,4,4,4,1,1,6,203583,0
